Sukunimi,Etunimi,Eduskuntaryhmä,Vaalipiiri,Syntymäaika,Edustajatoimen tila,,,,,,,Edustajatoimen tila
Aalto,Touko,vihr,Keski-Suomen vaalipiiri,01.04.1984,nyk,,,,,,,nyk
Adlercreutz,Anders,r,Uudenmaan vaalipiiri,26.04.1970,nyk,,,,,,,nyk
Ahde,Matti,,Oulun vaalipiiri,23.12.1945,ent,,,,,,,ent
Ahonen,Esko,,Vaasan vaalipiiri,13.06.1955,ent,,,,,,,ent
Ahvenjärvi,Sauli,,Satakunnan vaalipiiri,18.08.1957,ent,,,,,,,ent
Akaan-Penttilä,Eero,,Uudenmaan vaalipiiri,17.04.1943,ent,,,,,,,ent
Ala-Nissilä,Olavi,kesk,Varsinais-Suomen vaalipiiri,02.08.1949,nyk,,,,,,,nyk
Alanko-Kahiluoto,Outi,vihr,Helsingin vaalipiiri,14.06.1966,nyk,,,,,,,nyk
Alatalo,Mikko,kesk,Pirkanmaan vaalipiiri,01.05.1951,nyk,,,,,,,nyk
Andersson,Claes,,Uudenmaan vaalipiiri,30.05.1937,ent,,,,,,,ent
Andersson,Janina,,Varsinais-Suomen vaalipiiri,28.02.1971,ent,,,,,,,ent
Andersson,Li,vas,Varsinais-Suomen vaalipiiri,13.05.1987,nyk,,,,,,,nyk
Anttila,Sirkka-Liisa,kesk,Hämeen vaalipiiri,20.12.1943,nyk,,,,,,,nyk
Arhinmäki,Paavo,vas,Helsingin vaalipiiri,13.12.1976,nyk,,,,,,,nyk
Asell,Marko,,Pirkanmaan vaalipiiri,08.05.1970,ent,,,,,,,ent
Asko-Seljavaara,Sirpa,,Helsingin vaalipiiri,12.10.1939,ent,,,,,,,ent
Autio,Risto,,Hämeen vaalipiiri,22.08.1954,ent,,,,,,,ent
Autto,Heikki,,Lapin vaalipiiri,23.08.1984,ent,,,,,,,ent
Backman,Jouni,,Etelä-Savon vaalipiiri,30.03.1959,ent,,,,,,,ent
Berner,Anne,kesk,Uudenmaan vaalipiiri,16.01.1964,nyk,,,,,,,nyk
Biaudet,Eva,r,Helsingin vaalipiiri,27.02.1961,nyk,,,,,,,nyk
Blomqvist,Thomas,r,Uudenmaan vaalipiiri,15.01.1965,nyk,,,,,,,nyk
Brax,Tuija,,Uudenmaan vaalipiiri,06.01.1965,ent,,,,,,,ent
Donner,Jörn,,Helsingin vaalipiiri,05.02.1933,ent,,,,,,,ent
Eerola,Juho,ps,Kaakkois-Suomen vaalipiiri,24.02.1975,nyk,,,,,,,nyk
Eestilä,Markku,kok,Savo-Karjalan vaalipiiri,23.07.1956,nyk,,,,,,,nyk
Elo,Simon,ps,Uudenmaan vaalipiiri,08.07.1986,nyk,,,,,,,nyk
Elomaa,Ritva,ps,Varsinais-Suomen vaalipiiri,16.07.1955,nyk,,,,,,,nyk
Eloranta,Eeva-Johanna,sd,Varsinais-Suomen vaalipiiri,04.03.1966,nyk,,,,,,,nyk
Elovaara,Tiina,ps,Pirkanmaan vaalipiiri,11.12.1986,nyk,,,,,,,nyk
Essayah,Sari,kd,Savo-Karjalan vaalipiiri,21.02.1967,nyk,,,,,,,nyk
Feldt-Ranta,Maarit,sd,Uudenmaan vaalipiiri,26.04.1968,nyk,,,,,,,nyk
Filatov,Tarja,sd,Hämeen vaalipiiri,09.08.1963,nyk,,,,,,,nyk
Forsius,Merikukka,,Uudenmaan vaalipiiri,12.08.1972,ent,,,,,,,ent
Gestrin,Christina,,Uudenmaan vaalipiiri,12.01.1967,ent,,,,,,,ent
Grahn-Laasonen,Sanni,kok,Hämeen vaalipiiri,04.05.1983,nyk,,,,,,,nyk
Gustafsson,Jukka,sd,Pirkanmaan vaalipiiri,02.01.1947,nyk,,,,,,,nyk
Guzenina,Maria,sd,Uudenmaan vaalipiiri,12.01.1969,nyk,,,,,,,nyk
