id,name,Eduskuntaryhmä,Vaalipiiri,Syntymäaika,Edustajatoimen.tila,Sukupuoli
8,Outi Alanko-Kahiluoto,vihr,Helsingin vaalipiiri,14.38.46,nyk,female
12,Li Andersson,vas,Varsinais-Suomen vaalipiiri,13.38.07,nyk,female
13,Sirkka-Liisa Anttila,kesk,Hämeen vaalipiiri,20.44.23,nyk,female
20,Anne Berner,kesk,Uudenmaan vaalipiiri,16.33.44,nyk,female
21,Eva Biaudet,r,Helsingin vaalipiiri,27.34.41,nyk,female
28,Ritva Elomaa,ps,Varsinais-Suomen vaalipiiri,16.39.35,nyk,female
29,Eeva-Johanna Eloranta,sd,Varsinais-Suomen vaalipiiri,04.35.46,nyk,female
30,Tiina Elovaara,ps,Pirkanmaan vaalipiiri,11.45.06,nyk,female
31,Sari Essayah,kd,Savo-Karjalan vaalipiiri,21.34.47,nyk,female
32,Maarit Feldt-Ranta,sd,Uudenmaan vaalipiiri,26.36.48,nyk,female
33,Tarja Filatov,sd,Hämeen vaalipiiri,09.40.43,nyk,female
36,Sanni Grahn-Laasonen,kok,Hämeen vaalipiiri,04.38.03,nyk,female
38,Maria Guzenina,sd,Uudenmaan vaalipiiri,12.33.49,nyk,female
41,Susanna Haapoja,NA,Vaasan vaalipiiri,13.43.46,ent,female
42,Tuula Haatainen,sd,Helsingin vaalipiiri,11.34.40,nyk,female
49,Hanna Halmeenpää,vihr,Oulun vaalipiiri,07.35.56,nyk,female
53,Satu Hassi,vihr,Pirkanmaan vaalipiiri,03.38.31,nyk,female
57,Hannakaisa Heikkinen,kesk,Savo-Karjalan vaalipiiri,07.36.54,nyk,female
62,Anna-Maja Henriksson,r,Vaasan vaalipiiri,07.33.44,nyk,female
69,Laura Huhtasaari,ps,Satakunnan vaalipiiri,30.35.59,nyk,female
70,Susanna Huovinen,sd,Keski-Suomen vaalipiiri,10.38.52,nyk,female
75,Katja Hänninen,vas,Oulun vaalipiiri,26.34.00,nyk,female
81,Marisanna Jarva,kesk,Oulun vaalipiiri,11.41.01,nyk,female
89,Arja Juvonen,ps,Uudenmaan vaalipiiri,08.44.47,nyk,female
90,Heli Järvinen,vihr,Kaakkois-Suomen vaalipiiri,31.37.43,nyk,female
