sukunimi,etunimi,ryhma,piiri,syntymapaika,status
Aalto,Touko,vihr,Keski-Suomen vaalipiiri,01.04.1984,nyk
Adlercreutz,Anders,r,Uudenmaan vaalipiiri,26.04.1970,nyk
Ahde,Matti,,Oulun vaalipiiri,23.12.1945,ent
Ahonen,Esko,,Vaasan vaalipiiri,13.06.1955,ent
Ahvenjärvi,Sauli,,Satakunnan vaalipiiri,18.08.1957,ent
Akaan-Penttilä,Eero,,Uudenmaan vaalipiiri,17.04.1943,ent
Ala-Nissilä,Olavi,kesk,Varsinais-Suomen vaalipiiri,02.08.1949,nyk
Alanko-Kahiluoto,Outi,vihr,Helsingin vaalipiiri,14.06.1966,nyk
Alatalo,Mikko,kesk,Pirkanmaan vaalipiiri,01.05.1951,nyk
Andersson,Claes,,Uudenmaan vaalipiiri,30.05.1937,ent
Andersson,Janina,,Varsinais-Suomen vaalipiiri,28.02.1971,ent
Andersson,Li,vas,Varsinais-Suomen vaalipiiri,13.05.1987,nyk
Anttila,Sirkka-Liisa,kesk,Hämeen vaalipiiri,20.12.1943,nyk
Arhinmäki,Paavo,vas,Helsingin vaalipiiri,13.12.1976,nyk
Asell,Marko,,Pirkanmaan vaalipiiri,08.05.1970,ent
Asko-Seljavaara,Sirpa,,Helsingin vaalipiiri,12.10.1939,ent
Autio,Risto,,Hämeen vaalipiiri,22.08.1954,ent
Autto,Heikki,,Lapin vaalipiiri,23.08.1984,ent
Backman,Jouni,,Etelä-Savon vaalipiiri,30.03.1959,ent
Berner,Anne,kesk,Uudenmaan vaalipiiri,16.01.1964,nyk
Biaudet,Eva,r,Helsingin vaalipiiri,27.02.1961,nyk
Blomqvist,Thomas,r,Uudenmaan vaalipiiri,15.01.1965,nyk
Brax,Tuija,,Uudenmaan vaalipiiri,06.01.1965,ent
Donner,Jörn,,Helsingin vaalipiiri,05.02.1933,ent
Eerola,Juho,ps,Kaakkois-Suomen vaalipiiri,24.02.1975,nyk
Eestilä,Markku,kok,Savo-Karjalan vaalipiiri,23.07.1956,nyk
Elo,Simon,ps,Uudenmaan vaalipiiri,08.07.1986,nyk
Elomaa,Ritva,ps,Varsinais-Suomen vaalipiiri,16.07.1955,nyk
Eloranta,Eeva-Johanna,sd,Varsinais-Suomen vaalipiiri,04.03.1966,nyk
Elovaara,Tiina,ps,Pirkanmaan vaalipiiri,11.12.1986,nyk
Essayah,Sari,kd,Savo-Karjalan vaalipiiri,21.02.1967,nyk
Feldt-Ranta,Maarit,sd,Uudenmaan vaalipiiri,26.04.1968,nyk
Filatov,Tarja,sd,Hämeen vaalipiiri,09.08.1963,nyk
Forsius,Merikukka,,Uudenmaan vaalipiiri,12.08.1972,ent
Gestrin,Christina,,Uudenmaan vaalipiiri,12.01.1967,ent
Grahn-Laasonen,Sanni,kok,Hämeen vaalipiiri,04.05.1983,nyk
Gustafsson,Jukka,sd,Pirkanmaan vaalipiiri,02.01.1947,nyk
Guzenina,Maria,sd,Uudenmaan vaalipiiri,12.01.1969,nyk
Gästgivars,Lars Erik,,Vaasan vaalipiiri,28.05.1946,ent
Haapanen,Satu,,Oulun vaalipiiri,03.03.1969,ent
Haapoja,Susanna,,Vaasan vaalipiiri,13.11.1966,ent
Haatainen,Tuula,sd,Helsingin vaalipiiri,11.02.1960,nyk
Haavisto,Pekka,vihr,Helsingin vaalipiiri,23.03.1958,nyk
Haglund,Carl,,Uudenmaan vaalipiiri,29.03.1979,ent
Hakanen,Pertti,kesk,Pirkanmaan vaalipiiri,08.04.1969,nyk
Hakkarainen,Teuvo,ps,Keski-Suomen vaalipiiri,12.04.1960,nyk
Hakola,Juha,,Helsingin vaalipiiri,24.08.1967,ent
Halla-aho,Jussi,,Helsingin vaalipiiri,27.04.1971,ent
Halmeenpää,Hanna,vihr,Oulun vaalipiiri,07.03.1976,nyk
Harakka,Timo,sd,Uudenmaan vaalipiiri,31.12.1962,nyk
Harkimo,Harry,kok,Uudenmaan vaalipiiri,02.11.1953,nyk
Harkimo,Leena,,Uudenmaan vaalipiiri,28.03.1963,ent
Hassi,Satu,vihr,Pirkanmaan vaalipiiri,03.06.1951,nyk
Hautala,Heidi,,Uudenmaan vaalipiiri,14.11.1955,ent
Hautala,Lasse,kesk,Vaasan vaalipiiri,22.01.1963,nyk
Heikkilä,Lauri,,Varsinais-Suomen vaalipiiri,24.06.1957,ent
Heikkinen,Hannakaisa,kesk,Savo-Karjalan vaalipiiri,07.04.1974,nyk
Heinonen,Timo,kok,Hämeen vaalipiiri,15.02.1975,nyk
Heinäluoma,Eero,sd,Helsingin vaalipiiri,04.07.1955,nyk
Hemmilä,Pertti,,Varsinais-Suomen vaalipiiri,24.08.1955,ent
Hemming,Hanna-Leena,,Uudenmaan vaalipiiri,02.06.1961,ent
Henriksson,Anna-Maja,r,Vaasan vaalipiiri,07.01.1964,nyk
Hiltunen,Rakel,,Helsingin vaalipiiri,02.07.1940,ent
Hirvisaari,James,,Hämeen vaalipiiri,02.07.1960,ent
Holmlund,Anne,,Satakunnan vaalipiiri,18.04.1964,ent
Hongisto,Reijo,ps,Vaasan vaalipiiri,16.04.1962,nyk
Honkonen,Petri,kesk,Keski-Suomen vaalipiiri,29.07.1987,nyk
Hoskonen,Hannu,kesk,Savo-Karjalan vaalipiiri,23.08.1957,nyk
Huhtasaari,Laura,ps,Satakunnan vaalipiiri,30.03.1979,nyk
Huovinen,Susanna,sd,Keski-Suomen vaalipiiri,10.06.1972,nyk
Hurskainen,Sinikka,,Kymen vaalipiiri,22.03.1951,ent
Hyssälä,Liisa,,Varsinais-Suomen vaalipiiri,18.12.1948,ent
Häkkänen,Antti,kok,Kaakkois-Suomen vaalipiiri,16.01.1985,nyk
Häkämies,Jyri,,Kymen vaalipiiri,30.08.1961,ent
Hänninen,Katja,vas,Oulun vaalipiiri,26.01.1980,nyk
Hänninen,Tuomo,,Oulun vaalipiiri,09.04.1954,ent
Ihalainen,Lauri,sd,Keski-Suomen vaalipiiri,14.05.1947,nyk
